Cruise,Instrument,Source,Citation,DOI,SHIP,GROUP
AMLR2011,EK60,SWFSC,"Southwest Fisheries Science Center (2011): Water Column Sonar Data Collection (AMLR2011, EK60). National Centers for Environmental Information, NOAA. doi:10.7289/V5DB7ZST [access date]",http://doi.org/10.7289/V5DB7ZST,Moana Wave,NMFS
RL1606,ME70,SWFSC,"Southwest Fisheries Science Center (2016): Water Column Sonar Data Collection (RL1606, ME70). National Centers for Environmental Information, NOAA. doi:10.7289/V5XP7342 [access date]",http://doi.org/10.7289/V5XP7342,Reuben Lasker,NMFS
RL1606,EK60,SWFSC,"Southwest Fisheries Science Center (2016): Water Column Sonar Data Collection (RL1606, EK60). National Centers for Environmental Information, NOAA. doi:10.7289/V52F7KND [access date]",http://doi.org/10.7289/V52F7KND,Reuben Lasker,NMFS
RL1606,EK80,SWFSC,"Southwest Fisheries Science Center (2016): Water Column Sonar Data Collection (RL1606, EK80). National Centers for Environmental Information, NOAA. doi:10.7289/V50Z71J0 [access date]",http://doi.org/10.7289/V50Z71J0,Reuben Lasker,NMFS
SH1404,EK60,SWFSC,"Southwest Fisheries Science Center (2014): Water Column Sonar Data Collection (SH1404, EK60). National Centers for Environmental Information, NOAA. doi:10.7289/V5JQ0Z6K [access date]",http://doi.org/10.7289/V5JQ0Z6K,Bell M. Shimada,NMFS
